Pessoa/Organização;Ação;Item;Empenhado (R$);Liquidado (R$)
Sales Equip. e Prod. de Hig. Profissional Ltda;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;26802,60;26802,60
Selma Miranda Corso;5272 - Apoio Técnico Administrativo;33903050 - Peças de Reposição e Acessórios;6000,00;4053,39
Servconti Alvaro Balzon;5272 - Apoio Técnico Administrativo;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;200,00;200,00
Sie Serviços, Cursos e Comércio de Peças Industriais Ltda - Me;5272 - Apoio Técnico Administrativo;33903979 - Conservação e Manutenção de Imóveis;852,15;0,00
Sistemas de Serviços R B Quality Comércio de Embalagens Ltda;5272 - Apoio Técnico Administrativo;33903031 - Material Médico, Hospitalar e Odontológico;847,00;847,00
Sistemas de Serviços R B Quality Comércio de Embalagens Ltda;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;724,00;724,00
Software.com.br Informatica Ltda;5272 - Apoio Técnico Administrativo;33903912 - Serviços, Programas e Aplicativos de Informática;3336,92;3336,92
Spezia Comercial de Materiais e Suprimentos Eireli - Me;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;52126,64;52126,64
Supermed Com. e Import. de Prod. Méd. e Hosp. Ltda;5272 - Apoio Técnico Administrativo;33903031 - Material Médico, Hospitalar e Odontológico;2015,00;2015,00
Supermercado Morada do Sol Ltda - Epp;5272 - Apoio Técnico Administrativo;33903010 - Gêneros Alimentícios;24034,87;7664,26
Suprema Comercial Eireli;5272 - Apoio Técnico Administrativo;33903013 - Material e Utensílios para Refeitório, Copa e Cozi;660,00;660,00
Tecnofri Serviços e Manutenção LTDA - ME;5272 - Apoio Técnico Administrativo;33903999 - Outros Serviços de Terceiros;1880,00;1880,00
Teresinha Camargo Epp;5272 - Apoio Técnico Administrativo;33903013 - Material e Utensílios para Refeitório, Copa e Cozi;14771,24;681,24
Terrão Comércio e Representações Ltda.;5272 - Apoio Técnico Administrativo;33903016 - Material de Acondicionamento e Embalagem;8548,00;8548,00
Terrão Comércio e Representações Ltda.;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;10417,40;10376,18
Thamires Cristina de Lucas - Me;5272 - Apoio Técnico Administrativo;33903066 - Material de Proteção, Segurança, Socorro e Sobrevi;1450,00;1450,00
Unimóveis Equipamentos Para Escritório Ltda - M E;5272 - Apoio Técnico Administrativo;44905232 - Mobiliário em Geral;6420,00;6420,00
Universidade de São Paulo;5272 - Apoio Técnico Administrativo;33903010 - Gêneros Alimentícios;0,00;80,11
Universidade de São Paulo;5272 - Apoio Técnico Administrativo;33903050 - Peças de Reposição e Acessórios;0,00;175,26
Universidade de São Paulo;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;0,00;45,52
Universidade de São Paulo;5272 - Apoio Técnico Administrativo;44905220 - Equipamentos para Informática;0,00;18,62
Ana Lucia Miqui;5276 - Procedim.Alta Complexidade/Áreas de Anomalias Cranofaciais- Deficiência Auditiva;33903010 - Gêneros Alimentícios;3200,00;284,44
Belaris Alimentos Ltda - Epp;5276 - Procedim.Alta Complexidade/Áreas de Anomalias Cranofaciais- Deficiência Auditiva;33903010 - Gêneros Alimentícios;4319,50;4275,39
Campos Oliveira & Ghiraldi Ltda - Epp;5276 - Procedim.Alta Complexidade/Áreas de Anomalias Cranofaciais- Deficiência Auditiva;33903010 - Gêneros Alimentícios;10636,00;10430,70
Centroeste Carnes e Derivados Ltda;5276 - Procedim.Alta Complexidade/Áreas de Anomalias Cranofaciais- Deficiência Auditiva;33903010 - Gêneros Alimentícios;17604,10;17522,79
Cia. Ultragaz S..a.;5276 - Procedim.Alta Complexidade/Áreas de Anomalias Cranofaciais- Deficiência Auditiva;33903024 - Outros Combustíveis e Lubrificantes;4254,13;4254,13
Citrolife Alimentos Ltda;5276 - Procedim.Alta Complexidade/Áreas de Anomalias Cranofaciais- Deficiência Auditiva;33903090 - Outros Materiais de Consumo;4076,10;4076,10
Esquadrias e Vidraçaria Lençois Ltda - Me;5276 - Procedimentos de Alta Complexidade nas Áreas de Anomalias Craniofaciais/Deficiência Auditiva;33903090 - Outros Materiais de Consumo;384,00;384,00
JBS S/A;5276 - Procedim.Alta Complexidade/Áreas de Anomalias Cranofaciais- Deficiência Auditiva;33903010 - Gêneros Alimentícios;18656,00;18622,19
L. M. Godoy Siqueira - Me;5276 - Procedim.Alta Complexidade/Áreas de Anomalias Cranofaciais- Deficiência Auditiva;33903010 - Gêneros Alimentícios;7524,00;6820,00
Macacari & Silva Ltda - Epp;5276 - Procedim.Alta Complexidade/Áreas de Anomalias Cranofaciais- Deficiência Auditiva;33903014 - Material de Limpeza;211,80;211,80
Macacari & Silva Ltda - Epp;5276 - Procedim.Alta Complexidade/Áreas de Anomalias Cranofaciais- Deficiência Auditiva;33903031 - Material Médico, Hospitalar e Odontológico;42,00;42,00
Macacari & Silva Ltda - Epp;5276 - Procedim.Alta Complexidade/Áreas de Anomalias Cranofaciais- Deficiência Auditiva;33903066 - Material de Proteção, Segurança, Socorro e Sobrevi;130,00;130,00
Macacari & Silva Ltda - Epp;5276 - Procedim.Alta Complexidade/Áreas de Anomalias Cranofaciais- Deficiência Auditiva;33903090 - Outros Materiais de Consumo;850,66;850,66
Mariana Pinheiro Sanches da Silva Me;5276 - Procedim.Alta Complexidade/Áreas de Anomalias Cranofaciais- Deficiência Auditiva;33903010 - Gêneros Alimentícios;1659,96;1659,96
Nutricionale Comércio de Alimentos Ltda;5276 - Procedim.Alta Complexidade/Áreas de Anomalias Cranofaciais- Deficiência Auditiva;33903010 - Gêneros Alimentícios;2983,44;2968,00
Sabor e Saude Industria e Comercio de Formulados Ltda Me;5276 - Procedim.Alta Complexidade/Áreas de Anomalias Cranofaciais- Deficiência Auditiva;33903010 - Gêneros Alimentícios;9537,52;9434,56
Sabor e Saude Industria e Comercio de Formulados Ltda Me;5276 - Procedim.Alta Complexidade/Áreas de Anomalias Cranofaciais- Deficiência Auditiva;33903090 - Outros Materiais de Consumo;7,16;7,16
Supermercado Morada do Sol Ltda - Epp;5276 - Procedim.Alta Complexidade/Áreas de Anomalias Cranofaciais- Deficiência Auditiva;33903010 - Gêneros Alimentícios;19930,08;19930,08
Terrão Comércio e Representações Ltda.;5276 - Procedimentos de Alta Complexidade nas Áreas de Anomalias Craniofaciais/Deficiência Auditiva;33903090 - Outros Materiais de Consumo;395,40;395,40
Universidade de São Paulo;5276 - Procedim.Alta Complexidade/Áreas de Anomalias Cranofaciais- Deficiência Auditiva;33903010 - Gêneros Alimentícios;0,00;393,95
012 Construções e Reformas Ltda - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;7985,00;7985,00
012 Construções e Reformas Ltda - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903999 - Outros Serviços de Terceiros;13455,00;13455,00
A Panhoca Padaria e Confeitaria Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;53000,00;47389,06
A.e.b. Raposo & Cia. Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;731845,60;411617,04
A.e.b. Raposo & Cia. Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;7969,20;7969,20
Ac Branco Restaurante Ltda - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903973 - Fornecimento de Alimentação Preparada - Outros;211028,59;69987,15
Adriano Castro de Paula Materiais de Construção - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903050 - Peças de Reposição e Acessórios;2009,60;1993,52
Adriano Castro de Paula Materiais de Construção - Me;5304 - Ensino de Graduação nas Universidades Estaduais;44905231 - Máquinas e Motores;3750,00;3750,00
