Pessoa/Organização;Ação;Item;Empenhado (R$);Liquidado (R$)
R. Santos Com. de Prod. Alim. em Geral Eireli - Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;584523,70;410250,38
R. Urbano e Cia Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903050 - Peças de Reposição e Acessórios;3700,00;3700,00
Renocard Comércio e Serviços de Informática Eireli - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903061 - Peças, Acessórios e Componentes de Informática;7450,00;7450,00
Rodrigo José Soriano Adami Limpezas Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;36733,20;36733,20
Rogerio Agostinho Alves de Carvalho - Me;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903066 - Material de Proteção, Segurança, Socorro e Sobrevi;518,00;518,00
Rvr Comercial Ltda - Me;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903054 - Material para Instalação Elétrica e Eletrônica;1719,00;0,00
S. J. Produtos Químicos Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;1856,00;1856,00
S.l. Frio Distribuidora e Comércio de Alimentos Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;175500,00;165859,20
Sabor e Saude Industria e Comercio de Formulados Ltda Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;10048,84;10019,48
Sabor e Saude Industria e Comercio de Formulados Ltda Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;16,80;16,80
Sache & Sache Industria de Alimentos Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;60900,00;51782,40
Sales Equip. e Prod. de Hig. Profissional Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;15405,12;15405,12
Sebastiao Silva;5304 - Ensino de Graduação nas Universidades Estaduais;33903992 - Despesas Miúdas e de Pronto Pagamento;4000,00;2289,00
Selma Miranda Corso;5304 - Ensino de Graduação nas Universidades Estaduais;33903050 - Peças de Reposição e Acessórios;5000,00;4336,77
Selma Miranda Corso;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;10000,00;8437,48
Sermontec - Pecas e Servicos de Instalacao de Gas Ltda - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903979 - Conservação e Manutenção de Imóveis;1715,50;1715,50
Serralheria São Benedito Ltda. - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903050 - Peças de Reposição e Acessórios;650,00;650,00
Serralheria São Benedito Ltda. - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;1250,00;1250,00
Servconti Alvaro Balzon;5304 - Ensino de Graduação nas Universidades Estaduais;33903050 - Peças de Reposição e Acessórios;600,00;600,00
Servconti Alvaro Balzon;5304 - Ensino de Graduação nas Universidades Estaduais;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;1200,00;1200,00
Sha Comércio de Alimentos Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;1790915,00;772571,85
Silvana Aparecido Prela E. P. P.;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;408500,00;406807,00
Sl Comercial Ltda - Epp;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903050 - Peças de Reposição e Acessórios;3480,00;3480,00
Solci & Oliveira Ltda Me;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903050 - Peças de Reposição e Acessórios;116,70;116,70
Solci & Oliveira Ltda Me;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903054 - Material para Instalação Elétrica e Eletrônica;1163,36;1163,36
Solusoldas Manutenção Industrial Ltda - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903999 - Outros Serviços de Terceiros;22081,00;22081,00
Spezia Comercial de Materiais e Suprimentos Eireli - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;46998,20;46998,20
Spoljaric Comercial do Brasil Ltda Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;337532,00;269309,00
Supermercado Morada do Sol Ltda - Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;59743,00;59645,85
Supermercado Morada do Sol Ltda - Epp;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903010 - Gêneros Alimentícios;732594,14;449831,71
Supermercado Morada do Sol Ltda - Epp;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903090 - Outros Materiais de Consumo;840,00;14,00
Tamara de Almeida Rudsit Bini;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;7000,00;3645,60
Tapeçaria Irmãos Rocha S/c Ltda. - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903999 - Outros Serviços de Terceiros;5985,00;5985,00
Tatiana Bruder Lourenção;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903992 - Despesas Miúdas e de Pronto Pagamento;1000,00;1000,00
Terrão Comércio e Representações Ltda.;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903032 - Material de Uso Laboratorial;1584,00;1584,00
Terrão Comércio e Representações Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;4756,00;4756,00
Terrão Comércio e Representações Ltda.;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903090 - Outros Materiais de Consumo;6925,80;6925,80
Trovo Comercial Elétrica Ltda - Me;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903050 - Peças de Reposição e Acessórios;2601,08;2601,08
Trovo Comercial Elétrica Ltda - Me;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903054 - Material para Instalação Elétrica e Eletrônica;3550,87;3550,87
Trovo Comercial Elétrica Ltda - Me;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903090 - Outros Materiais de Consumo;448,05;448,05
U B B - União Brasileira de Artefatos de Borrachas Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903050 - Peças de Reposição e Acessórios;6808,80;6808,80
Universidade de São Paulo;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;0,00;2447,62
Universidade de São Paulo;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903014 - Material de Limpeza;0,00;218,38
Universidade de São Paulo;5304 - Ensino de Graduação nas Universidades Estaduais;33903050 - Peças de Reposição e Acessórios;0,00;88,31
Universidade de São Paulo;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903061 - Peças, Acessórios e Componentes de Informática;0,00;24,71
Universidade de São Paulo;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;0,00;538,13
Universidade de São Paulo;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903090 - Outros Materiais de Consumo;0,00;6,38
Universidade de São Paulo;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903796 - Serviços de Limpeza;0,00;63,06
Universidade de São Paulo;5304 - Ensino de Graduação nas Universidades Estaduais;33903983 - Serviços Gráficos;0,00;10,40
Universidade de São Paulo;5304 - Ensino de Graduação nas Universidades Estaduais;44905232 - Mobiliário em Geral;0,00;3,71
Viviane Baterias Ltda Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903050 - Peças de Reposição e Acessórios;960,00;960,00
Vl Terceirização Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903796 - Serviços de Limpeza;327261,96;208118,86
A.e.b. Raposo & Cia. Ltda.;5305 - Ensino de Pós-Graduação e Pesquisa nas Universidades Estaduais;33903010 - Gêneros Alimentícios;7958,40;7958,40
Bufo Technology Com. e Serviços Ltda - Me;5305 - Ensino de Pós-Graduação e Pesquisa nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;1884,00;1884,00
Kopell Distribuicao e Logistica Ltda;5305 - Ensino de Pós-Graduação e Pesquisa nas Universidades Estaduais;33903061 - Peças, Acessórios e Componentes de Informática;894,00;894,00
M. M. Sá Comércio e Representações Ltda Me;5305 - Ensino de Pós-Graduação e Pesquisa nas Universidades Estaduais;44905234 - Outros Equipamentos e Material Permanente;2760,00;2760,00
A.e.b. Raposo & Cia. Ltda.;5312 - Restaurantes Universitários;33903010 - Gêneros Alimentícios;149799,00;110029,40
A.e.b. Raposo & Cia. Ltda.;5312 - Restaurantes Universitários;33903090 - Outros Materiais de Consumo;5616,00;5616,00
Agrícola Jandelle S.A.;5312 - Restaurantes Universitários;33903010 - Gêneros Alimentícios;134845,00;0,00
Alvaro Balzon 35693304949;5312 - Restaurantes Universitários;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;150,00;150,00
Alvtec Informatica Ltda-me;5312 - Restaurantes Universitários;44905220 - Equipamentos para Informática;1670,00;1670,00
Amc Comércio de Hortifruti Ltda - Epp;5312 - Restaurantes Universitários;33903010 - Gêneros Alimentícios;3198,50;3198,50
Ana Lucia Eiko Nozaki Sola Losa;5312 - Restaurantes Universitários;33903992 - Despesas Miúdas e de Pronto Pagamento;6000,00;1356,00
Ana Maria Mendes Brito;5312 - Restaurantes Universitários;33903992 - Despesas Miúdas e de Pronto Pagamento;8000,00;4930,78
André Lima Vides Bauru - Me;5312 - Restaurantes Universitários;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;2550,00;2550,00
Angelo Gabriel de Oliveira;5312 - Restaurantes Universitários;33903992 - Despesas Miúdas e de Pronto Pagamento;5000,00;5000,00
Aparecida Moura da Silva Forte;5312 - Restaurantes Universitários;33903992 - Despesas Miúdas e de Pronto Pagamento;15000,00;13879,79
Aracenter Comercio e Assistëncia Tecnica Ltda - Me;5312 - Restaurantes Universitários;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;780,00;780,00
Barros & Barros Comercial Presentes Ltda.;5312 - Restaurantes Universitários;33903013 - Material e Utensílios para Refeitório, Copa e Cozi;1979,20;1979,20
Básica Fornecimento de Refeições Ltda - Me;5312 - Restaurantes Universitários;33903973 - Fornecimento de Alimentação Preparada - Outros;144600,00;0,00
Bignardi - Industria e Comercio de Papeis e Artefatos Ltda.;5312 - Restaurantes Universitários;33903041 - Material de Escritório, Papelaria e Impressos;5408,00;5408,00
Biopar Com.de Ferramentas e Ferragens Ltda-me;5312 - Restaurantes Universitários;33903050 - Peças de Reposição e Acessórios;2520,00;2520,00
Brilhobox Ribeirão Preto Ltda - Me;5312 - Restaurantes Universitários;33903999 - Outros Serviços de Terceiros;620,00;620,00
Bruthi`s Comercial Ltda.;5312 - Restaurantes Universitários;33903090 - Outros Materiais de Consumo;3872,50;3872,50
Bufo Technology Com. e Serviços Ltda - Me;5312 - Restaurantes Universitários;44905234 - Outros Equipamentos e Material Permanente;699,00;699,00
C.f.s. Com. e Serv. de Equipamentos Eletrônicos Ltda;5312 - Restaurantes Universitários;44905234 - Outros Equipamentos e Material Permanente;3920,00;3857,28
Carp Equipamentose Utilidades Domésticas Ltda;5312 - Restaurantes Universitários;44905234 - Outros Equipamentos e Material Permanente;351,00;351,00
Central Manut.equip.cozinha Industriais Ltda-me;5312 - Restaurantes Universitários;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;5780,00;5780,00
Centroeste Carnes e Derivados Ltda;5312 - Restaurantes Universitários;33903010 - Gêneros Alimentícios;97932,00;97932,00
Cibele Vany da Silva;5312 - Restaurantes Universitários;33903090 - Outros Materiais de Consumo;5000,00;3503,00
Cid & Rossi Cortinas e Decorações Ltda. - Me;5312 - Restaurantes Universitários;33903090 - Outros Materiais de Consumo;570,00;570,00
COLUMBIA COMÉRCIO DE DESCARTÁVEIS LTDA.;5312 - Restaurantes Universitários;33903015 - Artigos de Higiene Pessoal;8088,00;8088,00
Comercial Cegantin Ltda - Me;5312 - Restaurantes Universitários;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;1098,00;1098,00
Comercial e Importadora São Sebastião Ltda.;5312 - Restaurantes Universitários;33903010 - Gêneros Alimentícios;8327,92;8327,92
Comercial João Afonso Ltda.;5312 - Restaurantes Universitários;33903010 - Gêneros Alimentícios;82640,89;76536,53
Controltec Controladoria de Pragas Urbanas Ltda Me;5312 - Restaurantes Universitários;33903979 - Conservação e Manutenção de Imóveis;750,00;0,00
Cozileste Comercio e Manutenção de Cozinhas Ltda Me.;5312 - Restaurantes Universitários;33903999 - Outros Serviços de Terceiros;3980,00;3980,00
Cristalfrigo Indústria Com. Importação e Exportação Ltda;5312 - Restaurantes Universitários;33903010 - Gêneros Alimentícios;23250,00;23250,00
Debian Signal Comunicação Multimídia Ltda - Me;5312 - Restaurantes Universitários;44905130 - Execução de Obras e Instalações;7950,00;7950,00
Douglas José Copi Equipamentos e Materiais de Segurança - Me;5312 - Restaurantes Universitários;33903066 - Material de Proteção, Segurança, Socorro e Sobrevi;750,00;750,00
Ecolab Química Ltda.;5312 - Restaurantes Universitários;33903014 - Material de Limpeza;2625,00;2625,00
Ecolab Química Ltda.;5312 - Restaurantes Universitários;33903090 - Outros Materiais de Consumo;3572,10;3572,10
Elemix Materiais Elétricos Ltda. Me;5312 - Restaurantes Universitários;44905112 - Instalações;4399,00;4399,00
Elemix Materiais Elétricos Ltda. Me;5312 - Restaurantes Universitários;44905130 - Execução de Obras e Instalações;11474,60;11474,60
Emerson Roger Rivera da Luz - Me;5312 - Restaurantes Universitários;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;530,00;530,00
Emilio de Francesco;5312 - Restaurantes Universitários;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;5000,00;4234,12
Fábio Mossato Dias;5312 - Restaurantes Universitários;33903010 - Gêneros Alimentícios;1000,00;1000,00
Facility Comercio de Descartaveis, Embalagens e Servios de Pronta Entrega Ltda - Epp;5312 - Restaurantes Universitários;33903040 - Material Educativo e Cultural;3036,00;0,00
Fiochi - Máquinas e Balanças Ltda.;5312 - Restaurantes Universitários;44905234 - Outros Equipamentos e Material Permanente;655,00;655,00
FRESH HOTIFRUT EIRELI - ME;5312 - Restaurantes Universitários;33903010 - Gêneros Alimentícios;76952,86;12915,37
Indústria e Comércio de Café Ouro Brasileiro Ltda;5312 - Restaurantes Universitários;33903010 - Gêneros Alimentícios;2750,00;2750,00
J G Zana Alimentos Ltda Epp;5312 - Restaurantes Universitários;33903010 - Gêneros Alimentícios;273010,00;273010,00
J. A. & J. E. Desinsetização Ltda - Me;5312 - Restaurantes Universitários;33903936 - Dedetização, Desinsetização e Desratização;630,00;630,00
JBS S/A;5312 - Restaurantes Universitários;33903010 - Gêneros Alimentícios;62425,00;30745,60
Limpmais Eireli Me;5312 - Restaurantes Universitários;33903090 - Outros Materiais de Consumo;7305,00;6675,00
Luis Cesar Lopes da Silva - Me;5312 - Restaurantes Universitários;33903090 - Outros Materiais de Consumo;5727,33;5727,33
Luiz Gilberto Cristovam;5312 - Restaurantes Universitários;33903992 - Despesas Miúdas e de Pronto Pagamento;15000,00;9185,59
Marcelo dos Santos Barbosa;5312 - Restaurantes Universitários;33903010 - Gêneros Alimentícios;350525,24;282742,70
Marcelo Lunardi do Carmo;5312 - Restaurantes Universitários;33903992 - Despesas Miúdas e de Pronto Pagamento;12000,00;8609,54
Marcio Carlos Garcia Vidraçaria - Epp;5312 - Restaurantes Universitários;33903090 - Outros Materiais de Consumo;1050,00;1050,00
Maria Aparecida Loureiro de Oliveira;5312 - Restaurantes Universitários;33903050 - Peças de Reposição e Acessórios;5000,00;3878,72
Martaze Comércio e Serviços Ltda;5312 - Restaurantes Universitários;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;90715,78;81720,32
Matriz Alimentos Eireli Epp;5312 - Restaurantes Universitários;33903010 - Gêneros Alimentícios;48859,50;42649,08
Maxclean Com de Prods e Servs Ltda;5312 - Restaurantes Universitários;33903090 - Outros Materiais de Consumo;2420,00;2420,00
Multiagua Comercial Ltda. - EPP;5312 - Restaurantes Universitários;33903090 - Outros Materiais de Consumo;3360,00;3360,00
Multipack Comercial Embalagens Ltda.;5312 - Restaurantes Universitários;33903090 - Outros Materiais de Consumo;689,64;689,64
Nori Distribuidora de Produtos Alimentícios Eireli - Epp;5312 - Restaurantes Universitários;33903010 - Gêneros Alimentícios;6180,00;6180,00
Nori Distribuidora de Produtos Alimentícios Eireli-epp;5312 - Restaurantes Universitários;33903010 - Gêneros Alimentícios;88100,00;87600,00
Nutricionale Comércio de Alimentos Ltda;5312 - Restaurantes Universitários;33903010 - Gêneros Alimentícios;95958,40;85597,89
Nutrise Comercial Ltda Me;5312 - Restaurantes Universitários;33903010 - Gêneros Alimentícios;20430,00;10442,00
Padaria e Confeitaria Laoa Ltda.;5312 - Restaurantes Universitários;33903010 - Gêneros Alimentícios;7980,25;7980,25
Papa Lix Plásticos e Descartáveis Ltda.;5312 - Restaurantes Universitários;33903090 - Outros Materiais de Consumo;112500,00;112500,00
Paulo Cesar Utinetti;5312 - Restaurantes Universitários;33903010 - Gêneros Alimentícios;2880,00;2880,00
Paulo Roberto de Mello Monteiro;5312 - Restaurantes Universitários;33903090 - Outros Materiais de Consumo;370,00;370,00
Perfil Jd Com. de Produtos Alimenticios Eireli - Epp;5312 - Restaurantes Universitários;33903010 - Gêneros Alimentícios;64300,00;64300,00
Plástico Santa Clara Ltda;5312 - Restaurantes Universitários;33903090 - Outros Materiais de Consumo;930,00;0,00
Pró Análise Quimica e Diagnóstica Ltda;5312 - Restaurantes Universitários;33903090 - Outros Materiais de Consumo;4692,00;4692,00
Proserviços Gerenciamento Empresarial Ltda;5312 - Restaurantes Universitários;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;33125,53;29523,75
Puri Water Comercio e Manutencao em Equipamentos Refrigerados Ltda - Me;5312 - Restaurantes Universitários;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;2880,00;2880,00
Refrigas Com de Peças Ltda;5312 - Restaurantes Universitários;33903090 - Outros Materiais de Consumo;2337,00;2337,00
Refrigeração Santos Pirassununga Ltda - Me;5312 - Restaurantes Universitários;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;640,00;640,00
Ricardo Alexandre Ferreira Pereira;5312 - Restaurantes Universitários;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;3000,00;2824,00
Ricardo Alexandre Ferreira Pereira;5312 - Restaurantes Universitários;33903992 - Despesas Miúdas e de Pronto Pagamento;15000,00;11907,27
Rodrigo José Soriano Adami Limpezas Me;5312 - Restaurantes Universitários;33903014 - Material de Limpeza;2860,25;2860,25
Rodrigo José Soriano Adami Limpezas Me;5312 - Restaurantes Universitários;33903090 - Outros Materiais de Consumo;6690,90;6690,90
Roogan'S Ambiental de Sistemas Ltda Me;5312 - Restaurantes Universitários;33903796 - Serviços de Limpeza;7965,45;7965,45
Sales Equip. e Prod. de Hig. Profissional Ltda;5312 - Restaurantes Universitários;33903014 - Material de Limpeza;1434,00;1434,00
Sales Equip. e Prod. de Hig. Profissional Ltda;5312 - Restaurantes Universitários;33903015 - Artigos de Higiene Pessoal;11123,90;7704,30
Sales Equip. e Prod. de Hig. Profissional Ltda;5312 - Restaurantes Universitários;33903016 - Material de Acondicionamento e Embalagem;6900,00;6900,00
Sales Equip. e Prod. de Hig. Profissional Ltda;5312 - Restaurantes Universitários;33903090 - Outros Materiais de Consumo;35394,48;35394,48
Sebastiao Silva;5312 - Restaurantes Universitários;33903992 - Despesas Miúdas e de Pronto Pagamento;6500,00;4722,63
Selma Miranda Corso;5312 - Restaurantes Universitários;33903999 - Outros Serviços de Terceiros;7000,00;4920,00
Silvana Aparecido Prela E. P. P.;5312 - Restaurantes Universitários;33903010 - Gêneros Alimentícios;48360,00;31000,00
Simples Comércio de Máquinas e Equipamentos Ltda Me;5312 - Restaurantes Universitários;33903013 - Material e Utensílios para Refeitório, Copa e Cozi;91125,00;91125,00
Solusoldas Manutenção Industrial Ltda - Me;5312 - Restaurantes Universitários;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;3120,00;3120,00
Spezia Comercial de Materiais e Suprimentos Eireli - Me;5312 - Restaurantes Universitários;33903090 - Outros Materiais de Consumo;4790,40;4790,40
Starbene Refeições Industriais Ltda.;5312 - Restaurantes Universitários;33903973 - Fornecimento de Alimentação Preparada - Outros;484000,00;358377,23
Tecnofri Serviços e Manutenção LTDA - ME;5312 - Restaurantes Universitários;33903979 - Conservação e Manutenção de Imóveis;7990,00;7990,00
Terrão Comércio e Representações Ltda.;5312 - Restaurantes Universitários;33903090 - Outros Materiais de Consumo;17605,20;17605,20
Universidade de São Paulo;5312 - Restaurantes Universitários;33903010 - Gêneros Alimentícios;0,00;28,78
Universidade de São Paulo;5312 - Restaurantes Universitários;44905234 - Outros Equipamentos e Material Permanente;0,00;62,72
